Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.1	6792	0.999	273.16	4.022%	39.944	5.052%	0.00172	0.995
SP.Syn.Abst.2	5279	1.0	23.543	0.446%	2.818	0.461%	3e-05	1.0
SP.Syn.Abst.3	5584	1.0	36.432	0.652%	4.731	0.732%	5e-05	1.0
SP.Syn.Abst.4	4881	1.0	28.837	0.591%	3.694	0.642%	4e-05	1.0
SP.Syn.Abst.5	8113	1.0	39.94	0.492%	5.195	0.552%	3e-05	1.0
SP.Syn.Abst.6	9148	1.0	170.272	1.861%	24.77	2.299%	0.00035	0.999
SP.Syn.Abst.7	7760	1.0	131.751	1.698%	19.387	2.142%	0.00032	0.999
SP.Syn.Abst.8	5254	1.0	39.331	0.749%	5.247	0.859%	6e-05	1.0
SP.Syn.Abst.9	4298	0.974	805.233	18.735%	118.766	22.661%	0.03032	0.912
SP.Syn.Abst.10	12380	1.0	223.352	1.804%	32.467	2.251%	0.00037	0.999
SP.Syn.Abst.11	9219	1.0	40.169	0.436%	5.345	0.498%	2e-05	1.0
SP.Syn.Abst.12	9384	0.992	934.537	9.959%	138.048	12.432%	0.00937	0.97
SP.Syn.Abst.13	12464	1.0	288.556	2.315%	42.39	2.924%	0.00072	0.998
SP.Syn.Abst.14	13619	0.999	379.713	2.788%	56.345	3.553%	0.00104	0.997
SP.Syn.Abst.15	7996	0.999	338.152	4.229%	49.609	5.337%	0.00191	0.994
SP.Syn.Abst.16	7806	0.999	342.939	4.393%	50.363	5.422%	0.0022	0.995
SP.Syn.Abst.17	18033	0.99	2011.356	11.154%	296.908	14.147%	0.01244	0.957
SP.Syn.Abst.18	11997	1.0	223.617	1.864%	32.687	2.302%	0.00037	0.999
SP.Syn.Abst.19	11115	1.0	211.655	1.904%	31.002	2.39%	0.00041	0.999
SP.Syn.Abst.20	5547	1.0	49.67	0.895%	6.821	1.059%	0.0001	1.0
SP.Syn.Abst.21	7995	1.0	184.295	2.305%	27.032	2.911%	0.00078	0.998
SP.Syn.Abst.22	9268	1.0	40.434	0.436%	5.785	0.539%	2e-05	1.0
SP.Syn.Abst.23	7167	1.0	113.984	1.59%	16.614	1.995%	0.00032	0.999
SP.Syn.Abst.24	12816	1.0	50.685	0.395%	6.956	0.468%	2e-05	1.0
SP.Syn.Abst.25	10264	1.0	248.408	2.42%	36.788	3.049%	0.00067	0.998
SP.Syn.Abst.26	9249	0.997	572.645	6.191%	84.099	7.49%	0.00423	0.991
SP.Syn.Abst.27	7794	0.999	298.683	3.832%	43.728	4.844%	0.00165	0.995
SP.Syn.Abst.28	6697	1.0	89.291	1.333%	12.746	1.641%	0.00023	0.999
SP.Syn.Abst.29	9469	0.978	1576.916	16.653%	232.616	20.709%	0.02519	0.916
SP.Syn.Abst.30	7558	0.996	550.981	7.29%	80.62	8.676%	0.006	0.988
SP.Syn.Abst.31	20497	0.998	1091.171	5.324%	160.78	6.534%	0.00325	0.992
SP.Syn.Abst.32	17902	0.999	583.349	3.259%	86.085	4.094%	0.00125	0.997
SP.Syn.Abst.33	8839	0.998	504.535	5.708%	74.122	7.085%	0.0042	0.99
SP.Syn.Abst.34	21618	0.999	726.995	3.363%	107.058	4.254%	0.00154	0.996
SP.Syn.Abst.35	10724	0.998	488.12	4.552%	71.567	5.767%	0.00229	0.993
SP.Syn.Abst.36	15085	0.999	517.853	3.433%	76.678	4.374%	0.00127	0.996
SP.Syn.Abst.37	7534	0.998	355.967	4.725%	52.763	5.975%	0.00294	0.993
SP.Syn.Abst.38	10842	1.0	72.863	0.672%	10.213	0.813%	6e-05	1.0
SP.Syn.Abst.39	11218	0.999	356.229	3.176%	52.2	3.974%	0.0012	0.997
SP.Syn.Abst.40	10216	1.0	218.96	2.143%	32.287	2.683%	0.00052	0.999
SP.Syn.Abst.41	8031	1.0	197.092	2.454%	28.963	3.087%	0.00069	0.998
SP.Syn.Abst.42	2779	0.993	262.646	9.451%	38.915	12.09%	0.01087	0.968
SP.Syn.Abst.43	9794	0.999	326.263	3.331%	47.408	4.147%	0.0014	0.996
SP.Syn.Abst.44	11865	1.0	27.236	0.23%	3.49	0.254%	1e-05	1.0
SP.Syn.Abst.45	17095	1.0	26.444	0.155%	3.302	0.167%	0.0	1.0
SP.Syn.Abst.46	6516	1.0	66.966	1.028%	8.871	1.171%	0.0001	1.0
SP.Syn.Abst.47	8217	0.999	218.69	2.661%	31.59	3.28%	0.00081	0.998
SP.Syn.Abst.48	9873	1.0	173.742	1.76%	25.798	2.242%	0.00035	0.999
SP.Syn.Abst.49	5607	0.998	287.917	5.135%	42.293	6.41%	0.00256	0.992
SP.Syn.Abst.50	8606	0.999	243.695	2.832%	35.546	3.547%	0.00104	0.997
SP.Syn.Abst.51	7566	0.999	268.501	3.549%	38.94	4.334%	0.00142	0.996
SP.Syn.Abst.52	12203	1.0	93.728	0.768%	13.696	0.962%	7e-05	1.0
SP.Syn.Abst.53	10414	0.993	947.555	9.099%	138.906	11.531%	0.0087	0.97
SP.Syn.Abst.54	8230	1.0	74.956	0.911%	10.64	1.117%	9e-05	1.0
SP.Syn.Abst.55	11995	0.994	1071.02	8.929%	158.055	11.146%	0.00756	0.976
SP.Syn.Abst.56	11514	0.998	614.729	5.339%	90.437	6.641%	0.00353	0.992
SP.Syn.Abst.57	12036	1.0	181.052	1.504%	26.075	1.871%	0.00028	0.999
SP.Syn.Abst.58	10984	1.0	162.861	1.483%	23.51	1.807%	0.00022	0.999
SP.Syn.Abst.59	16910	0.997	1047.129	6.192%	154.588	7.562%	0.00356	0.99
SP.Syn.Abst.60	10602	1.0	239.448	2.259%	34.624	2.824%	0.00058	0.998
SP.Syn.Abst.61	14774	1.0	307.883	2.084%	45.038	2.585%	0.0005	0.999
SP.Syn.Abst.62	14893	0.999	444.237	2.983%	65.563	3.794%	0.001	0.997
SP.Syn.Abst.63	9665	0.999	255.93	2.648%	37.801	3.366%	0.00103	0.998
SP.Syn.Abst.64	11535	0.999	451.812	3.917%	66.332	4.831%	0.00172	0.996
SP.Syn.Abst.65	5392	1.0	38.615	0.716%	4.976	0.797%	6e-05	1.0
SP.Syn.Abst.66	5859	0.999	174.802	2.983%	25.674	3.771%	0.00137	0.997
SP.Syn.Abst.67	8865	1.0	22.564	0.255%	2.742	0.267%	1e-05	1.0
SP.Syn.Abst.68	21774	0.997	1284.517	5.899%	188.713	7.227%	0.00407	0.991
SP.Syn.Abst.69	14342	1.0	358.34	2.499%	52.616	3.151%	0.00078	0.998
SP.Syn.Abst.70	6652	0.999	184.971	2.781%	26.895	3.479%	0.00122	0.997
SP.Syn.Abst.71	12631	1.0	23.184	0.184%	2.85	0.192%	0.0	1.0
SP.Syn.Abst.72	18457	1.0	233.864	1.267%	34.202	1.595%	0.00025	0.999
SP.Syn.Abst.73	5899	1.0	27.752	0.47%	3.446	0.503%	3e-05	1.0
SP.Syn.Abst.74	9462	0.998	523.522	5.533%	76.881	6.945%	0.00307	0.99
SP.Syn.Abst.75	9161	1.0	58.679	0.641%	7.931	0.748%	4e-05	1.0
SP.Syn.Abst.76	8289	0.999	338.666	4.086%	49.32	4.984%	0.00189	0.995
SP.Syn.Abst.77	8765	0.999	326.004	3.719%	48.136	4.651%	0.00159	0.996
SP.Syn.Abst.78	9930	0.999	319.523	3.218%	46.793	4.01%	0.00123	0.997
SP.Syn.Abst.79	15947	1.0	24.401	0.153%	3.071	0.166%	0.0	1.0
SP.Syn.Abst.80	13138	0.998	722.334	5.498%	105.76	6.821%	0.0039	0.991
SP.Syn.Abst.81	7115	0.999	225.552	3.17%	33.287	4.039%	0.00113	0.996
SP.Syn.Abst.82	6297	0.997	375.404	5.962%	54.711	7.09%	0.00381	0.992
SP.Syn.Abst.83	9880	1.0	143.051	1.448%	20.725	1.805%	0.00025	0.999
SP.Syn.Abst.84	7897	0.999	256.118	3.243%	37.622	4.107%	0.00118	0.996
SP.Syn.Abst.85	12512	0.995	1030.777	8.238%	151.521	10.304%	0.00656	0.979
SP.Syn.Abst.86	10568	1.0	150.997	1.429%	21.782	1.769%	0.00024	0.999
SP.Syn.Abst.87	12491	1.0	104.856	0.839%	14.751	1.02%	9e-05	1.0
SP.Syn.Abst.88	16763	1.0	401.407	2.395%	58.909	3.026%	0.00081	0.998
SP.Syn.Abst.89	14645	1.0	183.127	1.25%	26.947	1.578%	0.00027	0.999
SP.Syn.Abst.90	5869	0.999	186.922	3.185%	27.512	3.919%	0.00102	0.997
SP.Syn.Abst.91	5678	0.997	332.045	5.848%	48.823	7.403%	0.00356	0.988
