NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	705.939	7.934	94.26	8.996	0.006	0.983	110000.0
2	702.112	7.881	93.837	8.949	0.006	0.983	50000.0
3	704.206	7.906	93.881	8.951	0.006	0.983	140000.0
4	703.326	7.886	93.848	8.946	0.006	0.983	130000.0
5	702.452	7.871	93.789	8.928	0.006	0.983	100000.0
6	704.945	7.898	94.104	8.959	0.006	0.983	50000.0
7	705.073	7.904	94.198	8.964	0.006	0.983	110000.0
8	702.673	7.893	93.736	8.943	0.006	0.983	40000.0
9	705.06	7.899	94.095	8.955	0.006	0.983	130000.0
10	703.663	7.886	93.989	8.945	0.006	0.983	130000.0
11	704.735	7.921	93.901	8.97	0.006	0.983	140000.0
12	704.263	7.899	94.163	8.975	0.006	0.983	250000.0
13	700.934	7.873	93.674	8.929	0.006	0.983	80000.0
14	703.978	7.907	94.032	8.968	0.006	0.983	120000.0
15	704.847	7.918	94.052	8.973	0.006	0.983	110000.0
16	706.15	7.933	94.214	8.985	0.006	0.983	140000.0
17	700.118	7.868	93.629	8.937	0.006	0.983	120000.0
18	706.94	7.931	94.43	8.994	0.006	0.983	160000.0
19	703.926	7.886	93.888	8.94	0.006	0.983	130000.0
20	701.521	7.879	93.647	8.929	0.006	0.983	150000.0
21	705.256	7.918	94.232	8.985	0.006	0.983	100000.0
22	700.525	7.871	93.567	8.923	0.006	0.983	60000.0
23	703.558	7.905	93.934	8.961	0.006	0.983	50000.0
24	704.157	7.892	94.178	8.968	0.006	0.983	140000.0
25	702.874	7.879	94.053	8.96	0.006	0.983	70000.0
26	705.707	7.916	94.202	8.977	0.006	0.983	110000.0
27	703.35	7.884	93.905	8.938	0.006	0.983	90000.0
28	703.012	7.892	93.98	8.961	0.006	0.983	40000.0
29	706.489	7.916	94.58	9.0	0.006	0.983	80000.0
30	704.971	7.908	94.041	8.96	0.006	0.983	150000.0
31	703.186	7.879	93.929	8.941	0.006	0.983	100000.0
32	704.912	7.912	94.065	8.975	0.006	0.983	90000.0
33	701.824	7.864	93.913	8.943	0.006	0.983	100000.0
34	702.316	7.883	93.898	8.958	0.006	0.983	70000.0
35	700.597	7.859	93.443	8.9	0.006	0.983	90000.0
36	704.325	7.906	94.055	8.963	0.006	0.983	50000.0
37	703.379	7.887	93.977	8.947	0.006	0.983	80000.0
38	703.268	7.884	93.92	8.942	0.006	0.983	70000.0
39	701.861	7.885	93.644	8.936	0.006	0.983	160000.0
40	706.362	7.925	94.339	8.986	0.006	0.983	200000.0
