NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1076.693	11.663	147.156	13.487	0.013	0.96	30000.0
2	1070.435	11.601	146.438	13.422	0.013	0.96	20000.0
3	1073.356	11.635	146.894	13.471	0.013	0.96	30000.0
4	1074.296	11.645	146.998	13.477	0.013	0.96	20000.0
5	1074.104	11.618	146.809	13.439	0.013	0.96	30000.0
6	1076.617	11.665	147.435	13.509	0.013	0.96	20000.0
7	1073.454	11.611	146.932	13.456	0.013	0.96	30000.0
8	1072.328	11.613	146.648	13.436	0.013	0.96	20000.0
9	1073.95	11.623	146.972	13.463	0.013	0.96	20000.0
10	1071.437	11.603	146.657	13.435	0.013	0.96	20000.0
11	1076.052	11.648	146.996	13.463	0.013	0.96	40000.0
12	1072.389	11.623	146.876	13.466	0.013	0.96	20000.0
13	1070.61	11.603	146.705	13.456	0.013	0.96	20000.0
14	1074.976	11.653	147.191	13.509	0.013	0.96	20000.0
15	1076.023	11.66	147.136	13.477	0.013	0.96	20000.0
16	1078.601	11.681	147.543	13.515	0.013	0.96	20000.0
17	1072.051	11.626	146.59	13.463	0.013	0.96	20000.0
18	1075.767	11.648	147.193	13.476	0.013	0.96	30000.0
19	1074.579	11.629	147.022	13.476	0.013	0.96	20000.0
20	1075.979	11.656	147.049	13.473	0.013	0.96	20000.0
21	1075.196	11.649	147.078	13.491	0.013	0.96	20000.0
22	1069.653	11.596	146.631	13.447	0.013	0.96	30000.0
23	1073.603	11.648	146.792	13.466	0.013	0.96	20000.0
24	1073.963	11.626	146.873	13.472	0.013	0.96	20000.0
25	1073.084	11.628	146.811	13.468	0.013	0.96	20000.0
26	1075.609	11.659	147.193	13.504	0.013	0.96	20000.0
27	1072.536	11.609	146.626	13.437	0.013	0.96	20000.0
28	1071.837	11.614	146.767	13.454	0.013	0.96	20000.0
29	1074.924	11.642	146.948	13.471	0.013	0.96	20000.0
30	1072.998	11.623	146.626	13.438	0.013	0.96	30000.0
31	1073.493	11.625	146.702	13.443	0.013	0.96	40000.0
32	1075.097	11.641	147.165	13.487	0.013	0.96	20000.0
33	1075.478	11.659	147.025	13.487	0.013	0.96	20000.0
34	1071.269	11.614	146.79	13.469	0.013	0.96	30000.0
35	1069.67	11.574	146.191	13.38	0.013	0.961	20000.0
36	1070.356	11.602	146.608	13.449	0.013	0.96	20000.0
37	1072.617	11.616	146.704	13.442	0.013	0.96	40000.0
38	1073.097	11.625	146.953	13.473	0.013	0.96	20000.0
39	1069.679	11.601	146.267	13.431	0.013	0.96	20000.0
40	1074.504	11.643	147.04	13.478	0.013	0.96	30000.0
41	1071.535	11.629	146.821	13.473	0.013	0.96	20000.0
42	1072.097	11.598	146.536	13.417	0.013	0.96	30000.0
43	1070.292	11.607	146.521	13.436	0.013	0.96	20000.0
44	1075.632	11.66	147.151	13.502	0.013	0.96	30000.0
45	1074.395	11.635	147.228	13.482	0.013	0.96	20000.0
46	1076.839	11.66	147.218	13.492	0.013	0.96	20000.0
47	1073.934	11.636	146.989	13.476	0.013	0.96	20000.0
48	1071.131	11.616	146.621	13.452	0.013	0.96	40000.0
49	1071.16	11.598	146.679	13.438	0.013	0.96	20000.0
50	1072.907	11.605	146.93	13.45	0.013	0.96	20000.0
51	1074.279	11.643	147.095	13.489	0.013	0.96	20000.0
52	1075.368	11.639	147.115	13.473	0.013	0.96	20000.0
53	1072.967	11.636	146.605	13.451	0.013	0.96	20000.0
54	1073.467	11.623	146.765	13.451	0.013	0.96	30000.0
55	1078.598	11.686	147.457	13.519	0.013	0.96	20000.0
56	1072.302	11.631	146.499	13.446	0.013	0.96	20000.0
57	1071.361	11.622	146.475	13.44	0.013	0.96	20000.0
58	1074.48	11.635	147.123	13.485	0.013	0.96	40000.0
59	1074.384	11.644	147.135	13.493	0.013	0.96	30000.0
60	1071.887	11.605	146.675	13.446	0.013	0.96	30000.0
61	1074.866	11.657	146.752	13.475	0.013	0.96	30000.0
62	1072.04	11.615	146.866	13.454	0.013	0.96	50000.0
63	1077.948	11.673	147.453	13.508	0.013	0.96	20000.0
64	1074.405	11.631	147.16	13.469	0.013	0.96	20000.0
65	1073.505	11.638	146.898	13.47	0.013	0.96	30000.0
66	1075.022	11.65	146.9	13.461	0.013	0.96	40000.0
67	1070.56	11.61	146.479	13.441	0.013	0.96	20000.0
68	1069.658	11.569	146.622	13.418	0.013	0.96	40000.0
69	1072.532	11.619	146.642	13.445	0.013	0.96	30000.0
70	1073.948	11.631	146.895	13.461	0.013	0.96	20000.0
71	1075.565	11.648	147.102	13.481	0.013	0.96	20000.0
72	1073.526	11.624	146.923	13.458	0.013	0.96	20000.0
73	1072.193	11.633	146.87	13.482	0.013	0.96	20000.0
74	1075.675	11.665	147.345	13.523	0.013	0.96	40000.0
75	1076.954	11.676	147.358	13.512	0.013	0.96	20000.0
