Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.1	6792	0.998	321.603	4.735%	45.995	5.818%	0.00225	0.993
SP.Syn.Abst.2	5279	0.992	556.849	10.548%	78.335	12.805%	0.00914	0.964
SP.Syn.Abst.3	5584	0.997	342.132	6.127%	48.541	7.509%	0.00313	0.988
SP.Syn.Abst.4	4881	0.995	397.981	8.154%	55.816	9.7%	0.00541	0.982
SP.Syn.Abst.5	8113	0.999	367.887	4.535%	51.323	5.455%	0.00166	0.994
SP.Syn.Abst.6	9148	0.997	599.615	6.555%	88.503	8.213%	0.0038	0.987
SP.Syn.Abst.7	7760	1.0	134.219	1.73%	19.788	2.186%	0.00033	0.999
SP.Syn.Abst.8	5254	1.0	95.099	1.81%	13.268	2.173%	0.00029	0.999
SP.Syn.Abst.9	4298	0.955	1093.067	25.432%	155.917	29.749%	0.05602	0.839
SP.Syn.Abst.10	12380	1.0	227.564	1.838%	32.861	2.278%	0.00038	0.999
SP.Syn.Abst.11	9219	1.0	54.754	0.594%	7.537	0.703%	3e-05	1.0
SP.Syn.Abst.12	9384	0.985	1370.633	14.606%	192.473	17.333%	0.01861	0.94
SP.Syn.Abst.13	12464	0.999	533.675	4.282%	73.878	5.096%	0.00175	0.994
SP.Syn.Abst.14	13619	0.999	538.591	3.955%	76.358	4.815%	0.00168	0.995
SP.Syn.Abst.15	7996	0.998	370.898	4.639%	53.079	5.711%	0.0022	0.993
SP.Syn.Abst.16	7806	0.992	793.141	10.161%	114.455	12.322%	0.00896	0.973
SP.Syn.Abst.17	18033	0.99	2049.824	11.367%	298.646	14.23%	0.01269	0.956
SP.Syn.Abst.18	11997	0.994	1031.766	8.6%	150.978	10.631%	0.00643	0.979
SP.Syn.Abst.19	11115	1.0	252.046	2.268%	35.365	2.726%	0.00049	0.999
SP.Syn.Abst.20	5547	1.0	60.984	1.099%	8.325	1.292%	0.00013	1.0
SP.Syn.Abst.21	7995	0.993	818.258	10.235%	113.396	12.21%	0.00878	0.968
SP.Syn.Abst.22	9268	0.997	575.389	6.208%	80.389	7.486%	0.00313	0.988
SP.Syn.Abst.23	7167	0.999	250.628	3.497%	34.377	4.127%	0.00109	0.996
SP.Syn.Abst.24	12816	0.989	1586.055	12.376%	223.915	15.067%	0.01273	0.95
