"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144","S145","S146","S147","S148","S149","S150","S151","S152","S153","S154","S155","S156","S157","S158","S159","S160","S161","S162","S163","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S178","S179","S180","S181","S182","S183","S184","S185","S186","S187","S188","S189","S190","S191","S192","S193","S194","S195","S196","S197","S198","S199","S200"
"RandSig1",0,0,0,0,5687.91239235809,0,0,21158.2304528742,0,0,0,0,0,7217.03487274826,0,2200.60504290874,0,8401.37394232994,30263.0447140445,0,0,0,0,0,0,5387.46044425208,0,0,0,0,0,0,0,0,36400.8153861513,0,0,0,2965.57675938087,0,0,8835.50306973379,6404.82428260125,0,0,0,0,0,0,0,3679.83411473584,0,0,0,0,12695.5107624186,2759.27044855677,0,2652.51671125381,3853.57893995703,0,0,0,0,6609.37800168697,0,0,0,0,14158.3827586426,0,10961.8392840911,9763.14394087575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214.27739728828,0,0,3896.8568331831,0,0,0,0,0,0,0,0,0,0,20565.7450550694,0,34349.8278668582,28501.5396023478,0,8657.73971393868,0,0,0,37619.2239723005,0,0,0,0,0,0,0,0,0,0,0,6335.70509775751,0,1506.61703532394,0,0,0,7340.92055557363,0,0,0,0,0,0,0,0,12217.3993398174,9218.47932289205,0,22347.953822213,0,0,0,28663.0200312724,0,0,5784.19591736399,0,0,0,9899.26252517194,0,0,3703.33775253322,0,0,11041.307198843,0,0,6053.8279615579,8173.64599024282,12256.8609215923,27120.6565367665,0,0,0,0,0,16676.0523565521,0,0,0,0,32898.2610369449,0,0,0,0,0,0,19762.9594528577,0,0,0,12994.9501024763,0,24812.2480601921,6840.03605250365,0,12615.4096953879,0,0,10638.7294539976,0,0,0
"RandSig2",0,0,0,0,0,0,0,3440.25313995411,0,0,0,0,0,1312.97545464483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606.07718168676,3054.11470440585,0,0,1694.1267697167,3724.38045139406,0,0,0,0,0,0,0,0,919.451202746073,0,0,3168.41803997802,3706.15027505125,0,0,0,0,0,0,3474.46691568872,9019.02648571643,0,0,0,1858.30499266323,0,0,0,4758.13282538673,0,1766.45035669444,0,831.800763058338,0,0,0,0,0,0,1420.62410595364,0,0,1721.53958086348,0,0,0,0,0,0,0,0,0,4377.38813073806,0,0,2015.18477242979,862.725158440163,0,0,0,1141.47364027934,5508.46000112202,0,0,0,2193.22226450371,0,0,464.297607836953,0,0,0,323.215506525453,0,0,1925.11639772458,0,0,732.954676249941,0,0,0,0,9418.44933977299,0,0,1731.03676796704,0,1307.32600635001,0,1704.7242580871,0,5583.16644433518,1495.75873934185,0,0,0,0,0,1698.17858029586,0,0,0,0,4836.77122580555,0,1410.41015538547,2666.96449355888,3083.05676109928,0,2480.64661868875,0,0,0,0,0,0,0,1527.7453351038,0,0,0,0,1213.08957324741,550.212460179142,0,0,1096.76731704435,0,1821.58698138106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4334.41017760683,3834.48466544111,0,3419.89127216888,0,0,0,1781.81968058803,1534.31965491913,780.470180803212,0,4406.17682718899,0,0,0,0,0,0,0,0,6114.91685489173,0
"RandSig3",0,2673.59199211743,0,0,0,4724.82123426976,19794.9845903454,0,0,0,3254.36972161311,4319.05675415385,0,0,0,9511.74782912107,2649.70572886452,0,0,0,0,0,0,0,0,2924.41929564698,0,0,0,0,0,0,0,0,0,2662.94415843504,2149.37844041217,0,0,0,0,0,0,5075.96345722651,0,5258.49798001103,3736.39914043826,21303.5081945626,3098.9066922928,0,3864.64460425409,0,5619.9693625037,0,3940.61820934928,0,0,671.372088566374,0,0,12684.2444163648,0,0,0,0,0,0,4321.36932943523,0,0,3488.4461166305,0,1889.21554353161,4480.39634708664,0,2414.4720082911,0,1114.97589743657,0,0,0,0,0,0,0,0,0,5849.4689898643,0,0,0,0,4402.64026018071,0,0,0,11741.6931380045,0,0,0,0,0,0,0,0,0,0,0,976.039906925676,0,0,5611.99840962061,0,0,0,0,2174.495425129,0,1499.00461321946,0,0,0,0,1780.60075251155,0,0,0,0,4293.84490330509,0,0,11990.8849937376,4842.19289801258,0,2298.96722489575,0,0,0,2592.0946450828,0,0,0,0,0,0,0,1373.59850397229,0,0,0,0,0,0,5805.02476444691,0,0,0,4745.56622337708,0,0,2231.17734875661,0,842.257430459216,0,0,2585.36564236622,0,0,5042.31905079793,0,8493.76588988147,1006.08336977548,0,0,0,11703.6032237127,0,0,0,0,0,325.834559408988,1068.93787713283,0,1108.26255969511,0,4476.29330528117,1258.16586593659,0,3372.38328008248,0,0,0,6566.93598275002,0,0,0,0,0,0
"RandSig4",0,0,0,0,0,0,0,0,7678.82828572822,0,0,0,0,4743.93890516303,0,2265.03176938939,0,0,0,0,0,8953.80065809759,5183.69970746468,0,4703.40135108693,4693.48859086717,0,2839.15572640607,0,0,2713.04764730546,0,0,1973.03676459989,0,0,15331.8034796497,0,3151.49376348272,0,0,0,0,0,0,0,0,1970.8766311381,6302.31855440433,0,0,0,0,0,0,0,0,0,0,5809.07851590273,0,17350.9127738465,0,0,0,0,0,0,2160.39186090211,0,0,2421.44922478573,0,0,0,0,0,0,489.752831053844,0,3700.06181253935,3408.02826842163,12179.106490916,0,0,3881.16823573506,0,0,0,0,0,3287.13794105529,0,0,0,0,0,0,0,4577.61259946493,0,0,0,904.124720236431,3469.38461089044,1917.16529769437,0,0,0,0,0,0,3542.40269509804,0,0,6707.83189185119,0,7660.48701165112,7040.60698438155,1814.152983429,0,0,1650.38106935999,0,0,0,7184.33366542929,0,0,0,2211.23508082753,0,0,0,0,0,0,1482.17167288816,312.796268103274,6013.25996023303,0,0,8301.45461903297,1049.30741766437,0,0,0,0,0,3544.75406011755,0,0,21934.8589492988,4688.5339580942,0,0,0,0,684.763256013194,0,0,0,3189.79701781358,0,0,0,10966.8746018143,0,0,1765.57366372848,755.604350772119,0,0,41047.0147098083,0,0,0,1276.01952517938,0,0,681.138390974133,0,3589.96672165566,0,0,3914.89683060298,0,0,0,0,3909.09718035014,0,0,0,5666.62580669453,16158.6897746101,0,0,0,8536.74009023432
"RandSig5",0,0,0,0,0,0,0,0,0,1331.1367425412,5641.53177407578,5379.49466738334,0,0,0,5497.40626168328,0,9642.77515044762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3224.88313665814,2033.87946020004,7739.81908284834,986.963990316779,0,2384.03963067294,2515.25014669005,3865.62284954372,0,0,0,0,0,0,0,0,0,686.829783768114,0,0,0,0,0,0,0,1918.03003989154,0,0,0,0,0,0,0,0,0,0,0,0,0,1013.00363208682,0,0,851.887184132606,0,0,0,0,0,0,4696.94894153077,10211.3847668498,0,0,0,1321.7135008596,0,0,0,0,891.216856134155,1539.66233755852,740.814547478339,0,0,0,0,0,0,0,0,0,0,0,0,5562.10581568004,0,0,0,0,0,3092.0172559971,0,1455.11920259674,0,0,0,0,0,1921.79567794639,1452.39146565319,0,4271.08886636101,1595.57583005778,0,0,0,0,1117.6870421334,0,0,0,0,0,0,0,0,0,0,0,0,2258.32239747712,13474.8626022034,10873.3860991557,0,0,5620.30974848669,0,0,3243.59540128916,0,0,0,15851.5828578382,0,0,2163.47228361066,4622.29800627784,0,0,0,0,8332.81454839538,0,26550.1635276267,1965.47360976457,0,0,0,0,0,1348.45151462896,3317.88321259396,0,0,0,4444.07619562126,0,0,0,0,1438.10748595131,2497.79355239265,1739.32489515736,0,0,395.211933747476,0,0,0,0,0,0,0,2117.29006375234,2993.74580676702,5843.70443733375
"RandSig6",1195.06942837693,0,1768.90035898834,0,0,0,0,0,603.780729559109,0,711.999129044488,0,0,0,0,0,0,0,0,1569.72264936373,772.067406475383,0,0,0,1354.79643196715,0,0,0,0,2609.21675564293,0,0,2167.01185933546,546.158214104618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.645742861407,0,0,0,418.404513120974,0,2676.50794045594,0,0,0,0,0,0,564.591075944674,0,0,0,0,0,0,0,330.119858620135,237.943453877582,0,0,0,0,584.886443946301,0,1585.17719310963,0,0,1089.52428382358,0,0,0,721.408045209795,0,4086.45970868953,0,0,1616.66711381118,0,1260.12516838973,0,0,2426.4500423933,4483.00908038385,0,0,0,3873.64359941293,0,526.975417337831,713.600022781286,0,0,609.347642522775,744.040934413067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624.357753069472,0,0,0,595.222080845304,0,0,0,0,1040.80485633719,0,0,0,5179.95461825717,0,566.893749788825,0,0,0,0,567.667803020056,0,0,0,0,0,0,1636.34188289091,1108.26334330093,1012.14368099587,682.334844061636,1848.57729131928,697.907218760738,0,0,0,2217.18375467591,544.589049075048,0,508.225030172698,0,0,0,0,0,1980.51269342559,0,0,0,0,1100.2002457868,0,1255.54017630352,579.683929099931,0,1045.51560141277,0,0,0,963.869914281963,0,0,0,0,3635.6814042096,0,0,574.374871911142,450.135574547127,0,371.30646235526,0,0,0
"RandSig7",12356.0086752338,0,1989.55605488967,3674.9732626234,0,0,0,0,0,0,8769.99689040418,3279.8235472714,0,0,0,0,0,0,0,4849.18253814984,0,0,0,0,0,0,0,0,3547.03482767791,0,0,0,0,0,0,2167.16911308771,4841.55303598389,4512.09430206439,0,22941.2942839376,0,0,0,9457.19848176737,0,0,0,4915.80212600958,0,0,0,2394.80572425682,0,0,0,0,0,0,0,0,0,0,3325.02560714014,5620.46719339945,0,0,0,1257.97400314398,0,12353.927250795,0,0,0,3043.85392034002,0,4109.41478572386,0,0,452.597351551988,0,0,0,21944.7105126895,3830.79532311684,0,0,5216.44086694208,0,0,0,2251.09622340779,0,0,1806.87266443686,0,0,0,0,0,9217.53894211374,0,0,0,0,0,0,0,0,0,0,0,1746.77428312465,0,0,0,0,0,8880.75688652732,0,0,0,0,0,0,0,0,0,0,5874.48422724589,0,0,0,0,3555.86220962099,2167.93496867822,0,0,0,0,0,1481.62239099589,0,0,0,10000.7178779531,9140.74279349,0,6951.25006636251,0,0,0,9092.50847471255,0,0,0,0,0,0,0,5518.44584254298,0,0,0,0,0,0,0,0,12418.3916683125,0,2359.29492810008,0,24019.067760415,5801.31400592839,0,0,0,0,0,0,0,0,6483.67738452949,0,0,0,0,0,0,27129.4748781205,0,0,0,0,0,0,0,0,0,0
"RandSig8",0,6708.87722551526,0,0,0,2494.84016389972,0,0,0,0,2180.76175020458,0,3681.94034927399,0,1703.49224503277,0,0,0,3230.09425592807,1801.99118158199,0,0,0,0,2580.23333827833,0,0,0,0,0,0,2982.80100764527,0,0,0,2771.21677936197,0,0,0,0,0,4186.30243232742,0,0,1775.84885830393,0,1375.28503871705,0,0,0,0,6653.69467504316,0,0,0,9928.31712025839,0,0,0,0,504.807357217131,0,842.517087684802,0,0,0,0,1713.14495697248,0,0,3398.6653044051,0,0,1371.03716337222,0,0,0,0,6718.47872130057,0,0,6063.19922483087,0,0,0,0,4383.58552186704,16194.4997610198,0,0,725.992902386921,1435.29262099452,0,0,0,0,0,0,0,0,0,0,0,3359.37500902423,0,0,0,0,710.386501519449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18056.8986110131,0,4646.87733354093,0,0,0,0,0,0,9854.40940402064,0,3395.5804568102,3923.70413618318,0,2840.95274905686,0,5009.20893107842,0,3879.6260946338,2993.71272478909,0,7769.74428371834,0,0,0,0,0,13316.1521238162,0,0,0,0,0,3171.55979653644,0,0,3065.76243385301,5893.55595381173,3965.26693314314,2832.98794468132,0,0,0,0,0,0,0,0,0,3495.28432442452,0,0,0,0,0,1228.7470521947,5995.66093869025,0,0,18019.7782042428,0,937.549488988781,0,3934.11630274573,0,0,0,0,0,0,1535.27259415011
"RandSig9",428.693729725982,236.902403164911,362.604156408549,1620.61703287812,0,0,0,1949.35449629904,0,0,0,0,0,0,403.952859010728,0,334.852712794361,0,0,0,0,448.379529941128,0,319.567637984344,0,0,0,0,0,0,0,0,0,0,0,0,0,981.041829974109,0,0,0,0,0,0,2309.34584395851,1264.25635200022,165.00469701175,336.766545802871,554.378223100039,900.58964616684,379.571300778984,0,0,0,0,0,0,0,0,0,0,1043.19752311205,0,426.725525721374,0,363.030929017204,296.925968013949,0,0,0,0,344.034781048305,1699.57401771076,820.786538248215,403.61691945894,0,0,0,0,0,350.556253911372,435.225079401102,0,0,0,0,0,0,0,0,0,0,287.504740075003,402.848033087387,0,329.896900158727,0,0,655.853459893801,0,0,229.780789135954,0,0,145.200112117531,369.114965434646,0,1632.19572292691,0,323.526443334635,0,0,0,758.623289374254,0,0,0,0,0,0,1211.38362303229,0,0,531.873579352453,0,0,0,0,284.401579223887,0,0,0,0,0,0,0,0,287.686269834651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550.95092613224,0,627.163460383394,0,0,0,0,0,356.383789265076,0,137.882017426408,0,0,0,0,815.965228174216,0,0,0,781.805845286366,0,637.325764891947,0,0,1799.59702498149,0,0,0,1019.86661068358,0,0,0,0,0,0,853.099009919475,0,0,0,0,628.922410333746,0,0,0,0,0,0,0
"RandSig10",0,0,0,0,0,3601.25950221343,0,0,0,0,2341.50710108842,0,0,0,0,0,3109.23295235983,9675.36541110788,0,9269.07209821898,0,0,0,0,3988.65326847245,0,9099.17861723918,1526.00410118921,0,26437.2062996676,0,0,3150.23378904821,0,0,0,0,0,7429.22777092331,0,8894.02431028248,0,0,0,0,0,0,0,17418.7044897285,0,0,10816.5939783694,0,0,2502.47331863692,0,1814.54583070854,7315.81350319868,0,0,0,0,0,0,12184.4385042503,94974.9125060003,0,0,0,2176.14259962249,0,0,1511.07276640426,3972.52867787636,0,2652.43842277103,0,0,0,0,0,0,23196.2054593935,0,2785.27617182901,0,0,0,0,7035.69160038101,0,0,0,0,0,2581.24951446066,1730.74364133201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11761.492772813,0,19735.9847350568,19438.9251254857,0,3172.01200855739,0,0,0,8545.48765716807,7684.28895614684,17073.4268190215,0,0,11776.3853123295,650.836838587496,0,0,0,0,0,0,2033.22090387509,4338.00984642022,0,4668.26689754138,15267.222335727,0,0,3908.91529805163,0,0,0,0,0,3564.3946581259,0,3772.90920181286,0,7785.75791443019,5813.38490087433,1262.62842449013,0,0,0,1306.41140796364,0,0,14696.3825572347,5707.20891249155,0,0,0,0,0,0,0,0,5324.61199079785,0,0,0,0,3359.58128191966,0,0,5681.32472455535,10053.7924233712,0,0,0,0,0,2022.67790613747,0,7215.60467890026,361.501922145627,0,0,0,0,0,0,0,0,0,0,0,0
